Instancia,Populacao,Geracoes,Mutacao,Melhor_Fitness,Fitness_Medio,Tempo_Medio_s
i01,100,500,0.05,500,512.0,5.52
i02,100,500,0.05,695,723.0,6.33
i03,100,500,0.05,360,365.0,6.52
i04,100,500,0.05,638,652.2,10.5
i05,100,500,0.05,4470,4584.0,19.87
i06,100,500,0.05,852,971.8,14.16
i18,100,500,0.05,9288,9424.8,47.28
